Year,Month,F.L(cm),B.W(g),Mat.
2005,11,31.4,462.9,1
2005,11,32.2,468.2,1
2005,11,32.8,498.2,1
2005,11,33.2,516.3,1
2005,11,34,540.5,1
2005,11,31.8,468.2,1
2005,11,32.5,511.2,1
2005,12,35.1,665.2,1
2005,12,36,657.6,1
2005,12,34.8,612,1
2005,12,36.8,711.8,1
2005,12,34.6,533.2,1
2005,12,32.4,554.8,1
2005,12,35,578.9,1
2005,12,32.4,533.8,1
2005,12,36,642.8,1
2005,12,33.4,521.7,1
2005,12,34,583.2,1
2005,12,34.6,639.8,1
2005,12,34.6,589.7,1
2005,12,31.4,368.5,1
2005,12,30.4,390.2,1
2005,12,31.8,424.3,1
2005,12,31,410,1
2005,12,32.6,480.8,1
2005,12,30.5,401.4,1
2005,12,30.4,348.7,1
2005,12,29.8,363.7,1
2005,12,31.4,419.1,1
2005,12,30.6,399.2,1
2006,1,38.2,710.7,1
2006,1,36.4,707.4,1
2006,1,38.3,790.4,1
2006,1,37.6,808.4,1
2006,1,33,543.4,1
2006,1,31.8,441.6,1
2006,1,37.2,715.4,1
2006,1,34.6,598.6,1
2006,1,35.6,608.8,1
2006,1,35.3,605.7,1
2006,1,36.4,732,1
2006,1,36.8,729.4,1
2006,1,35,578.6,1
2006,1,35.6,616,1
2006,1,35.4,625.6,1
2006,1,34.4,540.5,1
2006,1,34,536,1
2006,1,31,407.3,1
2006,1,36.4,676.5,1
2006,1,34,558.6,1
2006,1,31.6,343.2,1
2006,1,29.6,337.2,1
2006,1,29.8,339.2,1
2006,1,30.8,413.4,1
2006,1,32,400.4,1
2006,1,33,479.2,1
2006,1,31.8,411.2,1
2006,1,31.2,377.4,1
2006,1,32.6,484.5,1
2006,1,30,380.9,1
2006,1,30,401.3,1
2006,1,33.8,501.5,1
2006,1,29.7,351.5,1
2006,1,35.6,604.1,1
2006,1,34.4,499.6,1
2006,1,31.6,401.5,1
2006,1,29.2,349.1,1
2006,1,34.2,526.6,1
2006,1,32.2,416.2,1
2006,1,32.6,456.5,1
2006,1,36.2,625.5,1
2006,1,31,485.2,1
2006,2,36.8,691.6,1
2006,2,37.4,693.4,1
2006,2,35.4,711,1
2006,2,36.8,608.4,1
2006,2,37.2,622,1
2006,2,35.2,624.4,1
2006,2,37.2,671.3,1
2006,2,37.4,687.8,1
2006,2,36.9,695.9,1
2006,2,31,412.9,1
2006,2,32.2,412.9,1
2006,2,31.3,432.1,1
2006,2,30.6,372.5,1
2006,2,34.8,611.5,1
2006,2,35.8,740.2,1
2006,2,34.2,566.4,1
2006,2,34.6,616.8,1
2006,2,33.3,564,1
2006,2,32.5,499.2,1
2006,2,35.6,716,1
2006,2,35.8,682.5,1
2006,2,33.2,510.7,1
2006,2,32.6,491.5,1
2006,2,33.5,547.4,1
2006,2,37,756.5,1
2006,2,33.7,505.1,1
2006,2,35.4,667.2,1
2006,2,35.7,654.5,1
2006,2,35.2,606.5,1
2006,2,33.6,560.2,1
2006,2,33.2,550.3,1
2006,2,37.8,865.3,1
2006,2,32.6,486.7,1
2006,3,28.2,284.5,1
2006,3,28.1,253.1,1
2006,3,28.1,260.8,1
2006,3,29.4,296.8,1
2006,3,28,268.9,1
2006,3,28.9,276,1
2006,3,29.6,304.2,1
2006,3,29.2,310.1,1
2006,3,30,310.4,1
2006,3,27,238.5,1
2006,3,29.2,289.1,1
2006,3,27.4,230.2,1
2006,3,28.5,254.3,1
2006,3,28.1,277.4,1
2006,3,32.1,402.1,1
2006,3,31.1,364.8,1
2006,3,31.1,391.6,1
2006,3,31,363.5,1
2006,3,30.3,364.6,1
2006,3,31.1,415.2,1
2006,3,30.8,363.4,1
2006,10,36.9,789,1
2006,10,37,731,1
2006,10,35.5,677.9,1
2006,10,36.2,722.5,1
2006,10,35.3,690.3,1
2006,10,36.4,750.8,1
2006,10,35.3,639.6,1
2006,10,35.2,702.5,1
2006,10,35.7,649.6,1
2006,10,37.5,832.5,1
2006,10,34.5,570.6,1
2006,10,36.5,729.9,1
2006,10,35.7,680.6,1
2006,10,36.7,862.9,1
2006,10,35.5,732.4,1
2006,10,33.5,521.5,1
2006,10,32.6,523.8,1
2006,10,33.3,559.2,1
2006,10,33.1,504.6,1
2006,10,34.5,552.5,1
2006,10,32,475,1
2006,10,32.9,509.3,1
2006,10,32.7,542.7,1
2006,10,32,446.5,1
2006,10,33.8,527,1
2006,10,34.5,525.5,1
2006,10,29.7,358.6,1
2006,10,29.6,360.6,1
2006,10,30.7,385.9,1
2006,10,29.5,372.6,1
2006,10,30.2,391.3,1
2006,10,29.6,369.4,1
2006,10,30.5,382.6,1
2006,10,29.9,357.2,1
2006,11,34.4,612.6,1
2006,11,35.2,633.6,1
2006,11,32.6,518.3,1
2006,11,33.5,529.6,1
2006,11,35,672.8,1
2006,11,34.3,598.2,1
2006,11,34,558,1
2006,11,35.9,730.9,1
2006,11,31.1,502.7,1
2006,11,34.4,574.2,1
2006,11,33.7,596,1
2006,11,35.2,638.6,1
2006,11,31.5,439.4,1
