length(cm),weight(g)
27.8,254
24.6,172
26.3,205.2
27,231.1
28.5,268.6
26.2,204.4
27.9,241.8
26.1,203.8
27,228.8
26.9,226.8
25.6,181.9
29,275.9
26.8,211.1
39.1,873.4
36.3,747.5
37.4,829
35.6,622
36.8,762.8
41,1100.2
38.1,924.2
41,1107.5
39.9,965.2
39.4,958.5
37.4,771.9
34.2,650.2
37,780.4
36.7,677.3
40.9,1015
36.9,754.6
35,666.5
40.1,1011.9
37.7,862.4
38.4,909.6
35.2,646.6
36.3,654.3
38.9,896.7
34.3,642.6
34.5,590.7
34.3,525.9
36.3,700.5
39.8,941.8
38.9,848
39.2,942.4
31.6,512.3
28.4,303.6
29.2,328.8
28.9,319.7
28,285.7
27.8,279.5
29,320.6
27.8,280.7
26.7,254
27.9,311.7
27.5,294.7
29.4,312
27.9,301.8
28.4,269
29.7,339.8
29,302
27.9,279.7
27.9,269.5
26.3,210.4
27.5,255.7
28.5,274.9
29.1,323.7
28.4,310
30.5,355
27.9,270
28.9,338.2
28.6,343.6
29.4,349.4
29.1,338.5
30.2,369.3
26.9,247.1
27.6,266.1
26.5,243.6
27.2,281.1
24.5,181.1
25,195.1
26.9,249.2
25.7,204.5
27.5,279.3
24.4,159.2
24.3,175.1
27.1,257.5
26.8,232.3
24.1,162.9
27.2,260.3
25.3,195.5
25,186.5
27.4,254.9
23.5,168.7
24.9,185.3
26.7,236.4
25,191.7
26.7,230
25,200.25
25.5,203.6
25.5,200.7
24.4,168.5
25.7,205.7
27,257
24.5,178.8
34.7,641.1
35.2,653.8
35.3,656.3
35.4,654.2
33.3,651.6
32.2,542.4
31.7,696.6
32.7,592.8
33.7,587.8
35.4,557.6
34.9,624.8
33,535
33.7,586.8
36.2,715.8
34.6,652.3
36.8,703.3
33.3,524.9
35.1,697.8
33.3,606.2
32.5,534.3
33.2,489
34.1,557.8
33.6,578.8
34.9,579.9
33.2,532.6
33.2,561.3
34.6,577.5
33,473.4
32.4,555.4
33.5,556.3
31.4,434.1
32.5,500
32.4,472.4
32.5,472.3
32,422.2
29.3,361.4
30.4,393.6
32,468.1
31.7,459.4
30,363.7
29,349.8
32,492.8
31.2,439.5
31.7,488.5
32,482
30.3,400
30,422.3
32.8,495.5
30.2,425.4
32.2,513.7
32.2,464.5
30.3,406.3
30,418.1
30.6,451.4
29.9,375.2
28.5,330.9
32.2,490
31.2,450.4
30.6,448.1
30.7,428.5
27.8,298.1
28.3,320.5
26.7,312.6
26,232.6
28.5,303.7
26.8,277.3
27.5,286.7
27.3,255.9
26.3,240.8
27.2,270.7
28.4,310.6
27.8,289.5
27.5,287.7
27.8,301.5
26.5,249.7
28.3,315.5
27.5,298.8
28,306.1
27.8,290.8
27,266.9
27.3,286.2
26.6,296.7
26.5,267
26.2,250.3
27.5,280.9
25.8,257.4
26.8,256.2
27,270.8
28.3,304.8
26,251.4
31.8,494.5
32.5,511.7
31.9,496.7
32.3,533.2
33.9,610.8
34.5,806.6
33.3,533
31.8,493.9
31.1,477.6
32,538.1
33.1,522.1
32.3,521.8
33.7,593.1
31.1,518
32.2,504.8
33,585.7
32.2,554.7
32.5,491.1
33.5,534.7
33.9,563.8
32.7,493.1
32.3,496.7
32.3,508.3
31.5,478.6
32.8,534.4
33.5,539.8
32.7,509.1
32.3,535.5
34,599.7
33,539.6
33.9,537.4
32.2,514.2
37.5,757.8
37.2,712
32.1,463.1
33.4,516.6
32.4,419.4
32.5,488
40,611.3
36.4,687
32.7,505.2
32.1,442.3
33.8,524.8
34.1,523.2
33,512.5
35,609.7
34.3,596.2
31.7,484.8
32.1,509.4
32.3,509
32.5,474.8
31.6,429.5
32.4,487.3
35,559.3
32.7,563
32.5,514.8
33.2,501.8
33.9,524.3
32.7,578.4
35,617.8
31.5,404.8
32.7,481.5
31.7,463.2
30.7,359.8
30,363.7
31.5,409.1
32,464
34.2,509.6
32,409.4
31.5,405.4
30.9,446.3
34.5,561.2
30.3,355.6
33.2,503.3
33.9,488.9
33.9,571.6
33.2,530.4
32.5,466.4
35.4,634.4
33.7,510.2
33.6,568.1
32.9,491.9
34.6,590.3
32.7,527.1
30.2,359.4
33.6,563
32.9,481
32.2,421
32.8,521.5
32.7,480.8
29.5,338
29.5,323.6
29.5,331.8
30.8,371.3
30.6,359.9
30.7,347.6
30,339.5
30.1,327.8
30.3,359
29.6,340.3
30.9,328.4
29.7,326.2
30.1,341
29.7,338.6
29.6,324.5
29.1,310.7
30.2,328.1
29.8,332.4
29.4,340.7
31,378.7
30.8,346.9
29.9,308.4
29.5,317.1
30.3,348.9
29.6,293.1
30.4,352.2
30.8,412.4
30,347.3
30.8,342
29.6,323.5
21.2,89
20.9,88.3
20.5,80.5
21,102.8
25,185.3
19.7,72.6
20.4,85.8
21.9,112.1
22,122.8
20.6,101.8
21.7,101.6
20.5,84.2
21.5,108.7
21.2,96.8
20.3,89.7
21,87.8
21.2,85.3
20.7,81.5
21.2,96.2
21,92.7
20.3,82.1
20.7,92.4
21.9,108
21,83.2
21.2,89.6
20.5,92.1
21.1,92.2
21,90.9
20.8,92.1
20,81.2
36.5,774.9
35,623.3
34.2,622.1
40.1,912.4
36.3,629
38.7,856.4
34,576.3
35.1,652.8
35.8,628.2
34.8,595
35.9,635.7
35.9,683.3
36.2,668.7
35.3,635.8
34.1,653.1
35.7,678.5
36.5,755
33.9,565.5
35.1,647.9
35.8,736.1
35.8,733.9
33,562.8
36.2,726.8
35.3,664.3
30.8,442.5
32.2,456.2
31.9,460.7
33.2,591.1
32.7,483.3
33.2,666.5
30.2,443.3
32.3,540.7
32.5,533
33.3,537.6
34.1,554.5
33.1,541.9
33.9,553.7
33.3,526.3
34,550.8
34.3,589.4
35,596.7
34.9,638.7
33.9,520.1
33,536.3
33.8,512.1
34.7,602.5
35.1,623.9
35,620
34.7,610.5
33,512.3
33.3,506.3
33.2,535.3
31.5,457.3
34.8,627.1
32.6,440.2
30.7,358
31.1,374.8
31.7,444.8
29.3,333.9
32,449.3
31.5,407.5
29.9,408
31.3,433.2
31.1,401.1
29.5,350.7
30.2,414.8
30.5,438.8
31.5,465.6
30.1,380.1
31.2,424.1
30.2,445.5
31.5,436.4
30,390.8
28.8,399.9
31.7,454.3
32.1,442.2
30.7,444.9
30.4,412.1
30.2,424
29.9,391.6
30.3,443.8
29.9,375.3
31,445.8
31,443.8
25.5,216.5
26,222.5
25.3,226.6
25.9,214.3
25.9,221.3
25,201.8
25.3,206.6
24.8,199.9
24.1,189
24.8,216.3
25.9,237
24.1,200.6
24.9,203.1
25.1,212
25.9,234.7
26,224.7
26,240.6
26.1,236.9
25.1,190.2
25.7,226.8
24.7,197.2
25.3,217.3
25.5,203.7
25.9,236.8
24.8,198.3
24.9,189.5
24.9,207.9
24.8,214.9
25,193.6
26,246.6
31.9,449.9
33.1,481
31.2,443.8
32.2,447.3
31.5,441.8
33.6,520.3
32.8,464.8
32.7,467.2
32.4,460.3
33.5,462.1
32.1,472.6
31.7,466.5
32.8,504.6
32,498.1
32.4,485.6
31.6,460.5
32.4,476.3
32.6,470.3
34.5,545.8
31.8,468.7
31.9,454
35,554.2
31.2,444.7
32.5,486
33,475.8
35.3,604.2
33.9,515.4
31.7,467.8
31.9,469.4
33.8,531.4
28.5,286.6
28.6,304.9
30.1,376.6
31,384.9
31.3,379.9
29.5,344.6
30.2,359
29.8,344.6
32,397.4
27.8,380.1
30.9,376.4
28.2,273.4
27.9,297.5
29.8,326.4
29.4,339.8
29.9,353.2
29.3,328.2
30.5,364.8
29,302.2
28.7,306.7
31.2,375.7
29.6,334.5
30.1,376.8
30.6,380.4
27.3,283
29.8,331.7
29.1,328
30,370.4
29.5,334.6
32.1,434.4
28.2,271.3
28.2,270.9
28.4,285.7
25.9,213.8
26.7,237
27.6,262.3
28.9,293.4
27.1,231.3
27.1,245.2
27.6,266.6
29.5,330.8
26,227.9
25.6,200.6
25,193.5
27.1,245.6
27.1,256.3
25.8,217.4
27.1,232.8
26.4,240.3
26.5,228.9
26,222.1
27.1,260.1
26.4,225.7
25.8,202.5
24.7,188.7
27.2,223.8
25.8,232.7
26.1,214.7
27.1,246.1
26.3,237.1
34.1,544.7
35.6,601.4
31.9,471.8
33.1,541.6
34.1,628.1
34.5,571.5
32.1,498.4
34.4,548.1
33.7,568.5
32.8,489.7
32.5,496.2
32.9,522.7
32.7,503.1
33.3,523.1
32.1,504.2
30.9,416.2
32.7,504.8
31.8,481.6
32.8,534.2
32.8,487.3
30.9,329.6
32.7,501
34.5,550
32.2,456.2
32.6,483.4
33.9,532.1
33.3,501
32.7,521.7
33.2,514.4
33.2,529
30.5,418.8
30.4,377.4
31.9,425.1
30.3,407.5
31.3,422.6
30.3,400.7
30.8,394.6
31.5,417.1
31.1,399.9
30.2,394
30.6,390.2
29.8,375.4
31.9,467.2
31.8,449.2
31.1,455.3
31.3,418
31.5,414.9
32.5,438.9
31.2,400.8
30.8,419.8
30.6,422.8
30.1,423.6
32.8,453.9
30.8,393.4
29.7,380.1
31.4,316.3
31.1,402.5
31.4,422.5
30.4,398.4
31,419.2
27.7,267.7
27.8,258
27.2,254
30.5,385.3
29,302.1
26.5,242.7
28,288.34
27,247.3
28,288.4
29.6,323.5
27.3,259.2
26.2,229.5
28.4,291.5
22.3,131.3
24.6,178.7
28.1,271.8
26.8,261
27.9,274
28.7,319.5
26.1,230.9
26.8,247
26.7,240.9
28.2,289.2
27.3,254.9
26.9,249.1
28.2,285.2
27.2,247.2
28.2,281.1
28.4,276.3
29,300
22.8,509.8
33.9,560.9
33.5,566.2
32.5,510.8
32.1,484.2
33,500.8
33,546.6
33.8,612.2
33,537
33.2,546.5
33.7,576.3
33.6,516.7
35.1,634.4
34,547
32.6,593.2
34.6,596.3
32.9,536.3
33.2,525.7
33,494.5
33,556.7
33.1,518.1
32.7,523.3
35.3,622.8
33.3,502.8
32.6,484.1
31.5,470.5
34.1,555.9
33.6,539.5
33.7,501.3
34.1,546
32,446.2
30.8,399.2
33.2,524.6
31.3,439.6
31,425.4
31.6,416.3
33.2,531.1
30.6,393
30.3,436.4
31.3,423.6
29.5,328.2
32.4,463
31.6,438.2
31.8,408.2
32.2,462.4
31.2,418.5
31.7,461.5
30.5,415.6
31.6,483.5
33.4,461.4
32.7,450.8
30.9,404.8
30.9,400
34.2,551.7
31.6,412.1
29.4,354.1
32.2,420.7
33.7,525.5
34.6,561
31.8,439.6
28.7,307.7
29.5,338.2
30,348.4
29.3,319.3
29,309.3
28.8,333.8
27.1,264.8
29.6,334.4
29.8,353.5
30.3,367.3
28.6,335
28.7,318.8
29,332.2
28.5,295.5
29,314.5
29.6,358.4
29.1,333.4
29.2,330.5
28.8,355.5
28.6,322.5
29.8,364.5
29.8,328
29.8,366.6
29,327.4
29,282.3
29,331
29,340.5
29.9,373.1
26.2,263.3
28.3,315.3
34.5,577.8
34.3,576.9
33.5,550.6
33.5,560.2
32,506.5
33.2,534
33.6,643.3
34.5,544.8
33.7,530
35.2,627.8
33.1,548.9
32.7,548.1
34,586
35.3,625.3
33.1,538.1
33,565.6
33.1,529
33.8,565.8
32.7,538.1
32.8,543.4
32.5,510.3
34.4,555.5
33,538.9
34.2,579.37
32.5,472.7
34.5,619.2
33.8,571.5
33.5,545.8
33.5,573
33.5,580.4
32.6,525.1
31.5,468
31.9,475.5
30.9,426.2
31.6,514.3
30.4,380.3
32,519.7
31.2,402.4
30.5,419.2
31.8,470.6
30.7,383.3
31.5,441.8
30.5,422.7
30.2,364.1
32.2,459.2
32.3,498.2
31.3,474.6
29.8,365.4
30.8,396.5
31.8,436.5
30.3,383.8
33.2,563.5
32.8,478.4
31.8,461.8
32.7,518.8
33.1,501.1
28.7,326.7
30,350.7
32.5,518.9
32.5,512.6
28.5,331.6
28.5,322.5
29.2,370.2
28.1,314.8
28.2,327.7
29.6,340
26.1,228
29.4,344.5
27.3,252
29.4,359.6
28.3,316.4
27.3,288.3
28.8,324.4
28.1,304
29.6,339.2
28.7,305
25.5,206.8
29.8,368.9
29.8,374
28.2,286.5
27,268.6
29,329.9
30.1,359.4
29.1,343.1
26.3,244.9
26.3,239.1
30.5,371.8
29,318.8
28.1,315.5
26.8,238.8
33.1,552.4
32.6,543
33.5,598.9
37.3,790.9
35.5,684.8
35.3,676.4
39.2,865.5
34,549.8
33.5,587.7
34.2,607.8
33.8,542.3
33.5,558.2
33.6,559.5
34.2,594.6
37.4,729.2
34.6,594.4
35.3,658.3
32.6,490.4
34.2,603.3
34.5,689.2
34.8,604.1
34.9,556
36.7,784.7
37.5,770.8
38.7,835.5
34.6,581.2
34.4,574
33.4,548.7
32.8,498.5
32.9,472.6
31.8,491.4
32.4,494.3
32,453.7
32.1,447.1
30.9,426.2
33.8,520.4
31.6,476.1
30.5,393.4
30.8,405.5
34.3,520.1
33.2,511.5
32.5,531.2
33.9,547.6
34,600.5
33.9,547.6
33.9,540.2
33.3,491.2
33,507.4
32.2,498.8
32.5,477.8
33,536
33,511.1
32.2,427.4
31.4,484.8
31,435.7
33.6,540.6
31,447.3
33.9,515.5
33.5,586.6
32.6,454
30,376
29.8,353.4
29.3,339.5
27.9,264.4
29.3,351.3
28.9,314.1
30.6,363.5
30.3,373.4
29.9,351.2
30.3,360.1
30.3,354.4
31.1,370.8
31.4,336.9
29.1,306.4
30.6,333.9
30.4,367.2
28.9,296.6
29.9,345.2
29.8,345.9
31.9,411.7
29.9,347.8
28.7,305.8
29.8,335
30.1,332.8
29.6,372.1
30.2,346.4
30.3,382.6
30.3,348.1
30.5,355.9
29.7,353.9
27,253.8
29.3,322.8
26.8,221.7
26.7,217.8
27.7,248
26.4,213.3
28.5,272.1
27.5,249.7
28.6,305.2
27.6,249.3
27.1,239
27.3,248.7
27.4,258.5
26.8,235.8
26.4,210.2
27,226.6
26.8,231.1
27.9,228.2
28.2,262.4
27.3,245.2
29.6,276.6
27,233.5
29.9,312.8
28.2,257.5
30.2,332.4
27.7,247.7
29.1,304
27.5,240.4
26,209.1
27.8,235.7
37.8,846.9
41.2,980.7
31.3,876.4
42.8,1074.4
39.2,854.1
38.9,874.5
38,860.1
39.6,957.5
39.4,866.3
39.8,795.6
37.2,823.2
39,917.7
37.4,751.6
40,929.6
37,778.9
41.7,1121
37.2,791.9
41.1,887.3
40.5,879.9
36.9,749.6
37.8,795.4
38.1,814.3
38,804.3
38.2,802.6
37.6,783.3
41.2,970
33.9,510.1
33.5,496.5
33.1,545.1
34,495.6
33.8,536.1
34.1,552.1
32.8,560.9
34,550.2
34.2,561.2
34.2,528.6
34.2,570.4
34.8,543.6
34.6,586.2
34.6,560.7
34.6,580.4
33.8,526.7
30.8,400.3
34.7,580.2
34.2,522.9
34.5,591
34.5,539.4
33.9,560.3
32.6,491.9
34.5,518.9
35.1,571.6
34.9,545.6
33.2,522.8
34.6,540.3
35.7,587.4
33.1,510.3
29.8,304.4
30.1,380.1
30.8,355.6
30.1,392.4
29,329.7
28.8,300.6
29.7,360.5
29.4,316
30.4,372.6
30.3,362.5
30.5,381.1
30.4,370.4
29.7,312.6
31.6,394.4
28.8,267
32.2,492.9
29.4,349.2
30.7,382.1
28,286.8
29.5,296.1
30.4,367.5
29.4,597.7
31.2,452
29.1,352.7
31.2,386.5
30,375.3
31.3,410.4
31,403.5
30.3,357.3
27.7,284.5
32.8,602.5
39.8,883
35.8,643.6
35.4,652
38.8,807.5
37,678.9
36.8,616
36.8,718.5
37,719
38,696.1
37.6,691.6
34.9,542.7
37,634.3
36.9,690.3
35.5,584.1
37.4,726.7
34,477.6
37.1,680.7
35,641.2
36,608.3
36.1,691.5
34.8,573.4
37.2,674.2
35,601.3
38.8,782.9
35.4,580.7
35.9,585.7
39.8,782.3
34.7,547.8
35.1,566.7
30.3,342.8
33.8,433.9
32.3,409
30.1,296.1
31,397.8
30.8,353
30.7,379.3
30.7,388.7
30.9,344.1
31.1,356.4
25.9,210.1
29.9,297.2
31.8,414.2
30.8,329.1
30.1,334
31,328.6
30.4,355.1
32.9,400.1
29.4,331.8
30.5,378.3
29.8,337.2
30.1,353.2
31.5,394.7
30,345.8
30.2,313.1
29,285.4
30,358.8
30,320.8
30.5,364.7
30.4,368.2
26.8,215.8
24.8,169.8
26.8,214
27,205.3
26.2,200.3
25.7,200.2
26.8,221.7
27.4,223.3
27.2,196.4
26,212.3
25.9,183.9
26.1,212.3
26.4,219.6
26.4,222.7
26.7,212.6
26.9,214.6
26.3,187.4
24.9,167.1
27,235
26.5,187.4
27.4,223.3
27,219.3
27,216.9
25.9,230
27.5,224.7
25.9,201.5
26.4,222.2
25.2,190.8
27,215.7
25,184.8
41.5,1052.3
42.9,1213.8
42.5,1189.8
44.9,1284
41.3,1079.4
42.8,1083.9
44.2,1254.8
40,898.1
40.8,1022.2
41.5,1122.2
40.5,1106.5
42.5,1125.3
41.2,1024
43.1,1167.9
40,893.3
41.9,1032
41.4,998.4
40.8,975.4
38.8,848.7
40.3,937.8
37.7,862.6
37.9,783
37,837.6
37.1,718
36.4,632.5
37.4,698.6
36.9,757.3
34.5,535.3
38,762.8
37.9,752.8
38.2,797.8
35,641.4
37,688.9
36.2,669
36.1,735.3
36.1,711.8
35.5,664.6
36,597.7
35.1,633.7
35.5,619.3
36.9,607.5
35,596.5
36.4,674.1
38.6,809
37.2,731.7
36.5,683.9
34.8,622.6
37.9,782.2
38.9,862
34.9,712
34.8,647.1
36.9,680.9
35.8,634.2
35.8,644.8
35.1,566.2
34.9,619.7
35,562.6
35.7,630.8
34,550
34.2,638.4
35.4,603.9
34.4,564.6
36.1,646.4
35.4,602.5
35.4,630
35.8,579.5
35.4,590.5
35.4,647.3
33.4,516.1
34.8,576
34.5,526.9
35.1,536.9
35.6,586
36.1,633.2
35,594.1
35,588
35,562.6
32,408.5
31.7,380.7
30.5,336.4
31,349.6
33.7,377.3
32,430.7
32.1,408.4
32.4,444.5
32.9,411.2
32.1,386.9
32.3,445.1
34,486.3
34.8,521.1
33.8,533.1
30.1,332.4
32.1,393.1
34.2,493.7
32.2,393.6
30.7,337.3
33.2,525
35,537.1
33.5,493.1
34,511.5
34,459.6
31.4,379.6
32.1,388.6
35.2,541.3
35.7,560.8
33.8,480.8
42.5,1268.4
40.6,959.9
43.4,1174.9
42.7,1136.9
44.9,1355.9
44.4,1361.4
41,1064.8
41.9,1071.9
40.7,1057.1
42.7,1194.8
44.4,1164.1
40.9,1087.1
43.8,1215
43.4,1290.6
43.9,1307.1
34.4,597.4
35.7,650.3
36.5,699.2
37.4,768.3
35.8,687.6
35.5,653.3
35.7,671.2
36.2,619.2
36.4,685.2
37.3,757.6
37.3,786.2
36,654.2
38.1,761.9
36.6,649.2
36.2,680
37,715
35.4,593.4
34.6,572.6
35,552.6
36.6,758.2
35.2,599.4
35.4,618.5
34.8,615
34.8,569.8
37.3,755.9
37.5,709
36.6,665.6
37.6,710.5
31.7,418.9
30.1,385.2
32.4,420.6
30.2,325.7
31.2,370.2
29.3,348.7
28.7,299.6
28.8,299.7
30.4,359.9
27.8,311.1
30.2,344
30,346.7
29.8,325.9
29.8,340
33.2,437.4
29.8,345.1
31.7,439.3
29.6,323.7
31.7,406.1
31.5,407.8
30.2,346.8
27.7,271.8
29.8,321.3
30.3,334.4
30.5,355.7
29.3,325.6
29.6,369.9
31,437.3
31.2,375.7
30.8,390.7
39.2,966.7
48.8,1839.2
40.5,1648.4
38.9,911.08
38.1,902.45
37.9,822.98
38.5,868.96
39.5,916.35
38.1,820.19
39.6,920.34
38.2,881.52
41.1,1126.14
45,1397.76
38.8,899.5
37.1,797.71
41.2,1113.58
36.1,755.29
38.1,867.19
36.5,704.04
35.1,605.47
36.4,720.45
33.5,531.08
37.8,700.5
36,645.8
36.5,658.03
35.5,561.42
38,741.03
37.8,706.94
38.6,790.1
35.5,580.13
35.2,675.42
36.5,649.09
35.2,594.14
35.1,629.19
35,652.25
33.5,540.62
34.2,621.23
37.8,743.39
34.5,605.78
35.3,577.64
36.5,728.02
35.4,660.23
37.1,722.64
36.6,560.8
34.1,544.18
35.2,653.11
35.2,670.84
30.5,369.2
27.5,291.4
30.8,381.6
29,359.8
30.4,467.1
29.2,348.5
30.3,387.2
28.9,319
30.8,390.4
31.5,481.8
30.5,335.6
31,398.3
32.8,503.7
34.1,538
30.4,390.7
31,381.1
31.4,418.4
30.8,365.7
30.7,416.2
32.3,511.7
31.8,471.9
31.4,438.2
30,381.6
31,453.8
31.2,483.3
28.7,393
31.4,400
32,427
32,448.3
31.2,398.7
36.1,705.2
34,639.8
33.4,550.2
34.3,640.5
35.9,703.1
36.5,793.3
35,627.9
36,721.3
35.1,689.9
35.4,662.5
34.5,612.3
35.1,653.7
33.8,535.5
34.1,619.4
37.5,751.6
35.2,585.4
32.9,507.8
32.5,542.5
34.5,591.4
35.2,640.8
34,591.6
34.8,553.7
34.7,640.2
34.8,574.5
33,532.9
33,551.7
35.9,638.4
34.2,582.5
33.9,523.3
35.2,605
32,436
33,474.1
31.5,427.1
33,506.2
30.5,410.2
31.5,468
30.5,351.8
31.5,421.7
30,406.5
31.7,476.5
31.5,388.5
31.5,416.4
31.5,417.2
31.8,440.4
31.9,438
32,502.1
31,414.9
31.5,417.5
31.7,403.8
31.5,454.8
31.5,393.2
31.5,451.9
31.5,447
31,374.3
32.2,494.3
30,380.1
32.1,443.7
31.5,426.5
31.2,432.2
31.5,424.8
25.2,207.4
29.5,313.8
26.5,237.4
25,183.1
23.5,154.4
26.5,251.1
27.2,274.7
27.5,271.6
26.5,246.4
24.2,182.7
25.2,200.2
29.2,302.4
24.5,189.8
26.9,240.3
26.1,218.9
27.1,241
28.1,271.2
26.2,226.4
26.9,247.2
27.4,268.5
25.9,282.2
27.6,279.7
26.7,248.2
24.2,204
27.2,261.3
25.1,207.6
25.4,226.9
26.9,267
23,149.2
20.1,84.6
34.3,577.9
33.2,549.6
33.4,551.8
33.1,542.6
32.2,533.7
36.5,707.4
33,534.4
32.9,608.2
34.8,619
32.9,517.2
32.5,515.4
33.2,551.1
33.6,541.5
33.4,588.2
33.6,570.6
32.7,524
32.7,535.1
33.7,496.5
32,518.7
33,586.3
30.7,433.3
33.5,596.1
34.9,556.5
35.2,638.2
33.7,545.9
32.8,573.6
32,548.4
33.2,570
31.7,557.2
34.5,654.7
30,429.9
32.2,489.7
33.7,552.3
33.2,453.9
30.6,414
31.7,465.7
30.6,432.1
30.6,442.3
32,436.5
30.3,414.7
31.2,481.6
30.6,424.3
29.2,363.1
31.7,452
31.5,478.6
31.2,456.4
28.5,355
30.4,417.3
31.7,430.1
29.7,394
30.2,426.1
31.2,429.9
30.8,390.4
30.7,442.3
31.2,448.4
31.2,440.3
31.4,464
28.7,318.8
32.5,513
29.7,411
29,349.3
28,328.2
29.2,374.5
28.6,375.5
28,296.8
29.2,370.6
30.2,360.7
28,298
29.4,354.8
29.4,350.7
28.1,269.5
29.2,390.9
28,323.7
28.2,292.8
28.7,316.2
29.3,322.6
30.4,366.3
31.4,424
28.2,306.1
29.2,312.2
28.9,326.4
29.1,368.4
28,307.6
28.7,327.5
29.7,342.1
28.2,282.9
29.2,302.6
28.7,328.2
28,305.41
29.3,318.1
35.1,661.2
33.8,642
36.5,668.7
34.4,624
31.3,486.1
35,612.5
34.6,600.5
36.2,731.7
32.3,478.1
35.6,698.3
34.8,636.6
33.4,539.6
34.5,602.5
33.6,543.3
34.1,525.9
30.4,368.6
30.6,361.8
33.5,547
32.8,535.1
34,593.7
37.2,769.6
35.7,593.9
33.9,555.8
34.1,598.5
34.4,581.6
33.7,521.7
36,678.3
36.9,636.8
37,796.2
34.6,567.4
34,567.7
30.6,357.8
30.4,369.6
30.9,369.3
31.9,406.1
32.4,434.9
28.8,321.5
29,328
30.3,398.8
30.2,361.8
30.1,340.9
29.7,323.9
29.7,344.8
31.3,395
29.4,314.3
30.5,362.2
29.8,360.8
29.6,386.8
30.9,387.9
30,337.6
30.8,359.6
30.9,413.9
33.2,430.1
31.2,409.6
32,390.6
29.3,334.9
33.5,419.7
30,421.9
31.5,374.9
30,380.1
32,490
32.9,517.2
31.7,460.7
31.9,460.2
32.5,490.3
31.6,457.7
30.6,395.4
30.4,397.8
30.6,428.7
31.8,488.2
32.6,443.5
31.6,428
33.1,480.1
32.3,484.1
32.5,432.5
30.8,399.3
33.5,494.6
34,575.2
31.4,445.6
31.9,497.5
30,412.5
33.5,489.1
31.8,438.2
33.1,496.6
32.2,490.1
32,459.6
33.4,540.8
31.8,431
33,481.7
33.1,500.7
25,194.2
25.6,208
26.5,234.5
26.2,229.8
25.2,210.5
26.8,249.7
26.6,239
25.8,218.5
26.4,242.6
30,332.6
27.8,251.5
26.4,236.8
26.5,229.1
27.1,265.9
26.5,224.2
26.4,219
28.3,256.4
26.1,232.4
27.1,236.6
28.8,311.6
25,194.1
25.8,201.1
29.1,323.9
25.9,231.5
26,209
27.8,260.2
26,220.7
26.3,228.6
26.3,240.5
25.8,225.7
33.3,573.9
30,415.3
31.5,470.1
31.6,449.1
31.5,464.3
31.7,474.3
32.7,510.5
34.5,567.3
31,470.3
32.5,520.4
31,511.2
32.6,495.4
32.8,482.2
32.8,491.8
32,505.2
32.9,519.9
31,446.9
32,448.3
30.8,418.4
29,394.4
31,452.2
33,477.7
31,468
31.5,422.5
31.3,445.9
32.3,479
31.3,459.8
31,423.5
32.8,487.1
31,441.5
28,290.5
31.5,415.4
28.6,332.2
27,262.3
28.7,333.6
28.3,320.2
27.5,272.7
28.8,361.8
28,296.3
28.5,299.2
28.2,324.4
27.2,291.7
29,348.5
28.8,369
28.7,389.8
28.5,306.3
27.3,286.8
27.8,262
26.3,259.5
28.2,313.1
29,344.7
30,382.8
27.7,421.3
28,315.9
28.5,318.3
28.5,314.7
28.5,306.1
28.5,332.4
28.5,325.1
28.7,325.2
23.2,180.3
26.5,239.3
23,151.1
23.2,161.1
23,157.8
23,149.7
26.5,224.3
23.7,174.4
21.7,127
23.9,148
22.2,134.5
23.7,159.5
22.7,162.6
31,416.8
24.2,185.3
22.5,142.2
22.7,143.2
22,139.9
22.2,147.9
21.5,128
22.6,134.8
22.3,143.6
22.6,141.4
22.3,170.3
22,124
22,125.3
23,158.5
22,125.6
21.5,120
22.5,136.7
36.7,757.7
34,607.6
36.4,849.1
34.7,690.6
35.7,848.9
35.1,675.9
34.6,582
32.8,562.5
33,539.6
34.5,660.6
33.2,537.4
33.3,571.9
33.3,586.3
35.9,657.7
34.5,677.3
34,615.2
34.8,660.3
34.5,587.4
33.2,538.5
35.4,721.3
34.1,560.1
34.3,700
33,601
34.6,672
35.3,618.8
33.1,524.4
34,636.1
33,550.3
33,535.7
33.1,547.9
32.7,528.8
33.2,541.6
31.9,510.2
32.5,517.3
33.9,523.4
32.4,537.8
31.8,500
33.8,539.1
32.6,532.2
34.1,573.1
32.1,492.3
33.1,530.7
32.1,454.8
33.1,477.6
33,528.1
33.2,514.9
33.8,494.6
32.2,501.3
33.9,600.8
32.9,555.3
31.2,485
33.3,597.4
32.3,503.9
31.5,464.3
32.3,527.8
30.9,492.5
31.8,506.2
32.6,577.5
31.3,522.5
30.2,431.9
33.5,563.7
33,616.4
34.3,598.7
32.5,573.4
34,674.4
34.8,576
35,608.2
32,523.8
32.5,599.5
32.5,502
34,591.8
33,614.3
32.2,597.3
33.8,595.6
34.8,696.7
34.8,739.6
33.5,646.2
31.7,550.1
32.5,555.3
35,520.6
33.8,642.9
31.8,523.2
33,563.9
32,437
32.5,547.5
32.5,501.5
34,642.2
31.8,577.1
34.9,500.6
34,563
28.2,309.1
24.6,219.2
29.6,324.6
28.4,314.7
27.3,276.3
26,258
28.9,342.5
26.4,269.3
29.8,377.7
27.4,280.4
26.2,262.7
28.5,309
26,258
27.8,300.3
29.1,346.2
26.9,295.4
25.9,255.5
